Date ->,03/24/26,CUSIP,SECURITY TYPE,RATE,MATURITY DATE,CALL DATE,BUY,SELL,END OF DAY,,Type,Buy yield,Sell yield,EOD yield,Bid/ask yield spread,Bid/ask price spread
,,912810RR1,TIPS,1.000%,02/15/46,,74.265625,74.187500,0.000000,,TIPS,2.677%,2.683%,,0.006%,0.1053%
,,912810RW0,TIPS,0.875%,02/15/47,,71.046875,70.968750,0.000000,,TIPS,2.696%,2.702%,,0.006%,0.1101%
,,912810SB5,TIPS,1.000%,02/15/48,,71.890625,71.812500,0.000000,,TIPS,2.710%,2.716%,,0.006%,0.1088%
,,912810SG4,TIPS,1.000%,02/15/49,,70.828125,70.750000,0.000000,,TIPS,2.720%,2.726%,,0.006%,0.1104%
,,912810SM1,TIPS,0.250%,02/15/50,,56.625000,56.562500,0.000000,,TIPS,2.734%,2.739%,,0.005%,0.1105%
,,912810SV1,TIPS,0.125%,02/15/51,,53.125000,53.062500,0.000000,,TIPS,2.733%,2.737%,,0.005%,0.1178%
,,912810TE8,TIPS,0.125%,02/15/52,,51.937500,51.875000,0.000000,,TIPS,2.724%,2.729%,,0.005%,0.1205%
,,912810TP3,TIPS,1.500%,02/15/53,,76.750000,76.687500,0.000000,,TIPS,2.725%,2.729%,,0.004%,0.0815%
,,912810TY4,TIPS,2.125%,02/15/54,,88.250000,88.187500,0.000000,,TIPS,2.729%,2.733%,,0.003%,0.0709%
,,912810UH9,TIPS,2.375%,02/15/55,,93.093750,93.031250,0.000000,,TIPS,2.722%,2.725%,,0.003%,0.0672%
,,912810US5,TIPS,2.375%,02/15/56,,92.968750,92.906250,0.000000,,TIPS,2.720%,2.723%,,0.003%,0.0673%
,,91282CKM2,MARKET BASED FRN,3.872%,04/30/26,,0.000000,100.009903,0.000000,,FRN,,3.717%,,,
,,91282CLA7,MARKET BASED FRN,3.904%,07/31/26,,100.056701,100.049649,0.000000,,FRN,3.722%,3.742%,,0.020%,0.0070%
,,91282CLT6,MARKET BASED FRN,3.928%,10/31/26,,100.097193,100.086646,0.000000,,FRN,3.758%,3.776%,,0.018%,0.0105%
,,91282CMJ7,MARKET BASED FRN,3.819%,01/31/27,,100.036600,100.025976,0.000000,,FRN,3.771%,3.784%,,0.013%,0.0106%
,,91282CMX6,MARKET BASED FRN,3.882%,04/30/27,,100.109278,100.095682,0.000000,,FRN,3.777%,3.790%,,0.013%,0.0136%
,,91282CNQ0,MARKET BASED FRN,3.881%,07/31/27,,100.109559,100.099580,0.000000,,FRN,3.794%,3.802%,,0.008%,0.0100%
,,91282CPG0,MARKET BASED FRN,3.912%,10/31/27,,100.170545,100.162687,0.000000,,FRN,3.800%,3.805%,,0.005%,0.0078%
,,91282CPX3,MARKET BASED FRN,3.820%,01/31/28,,100.016471,100.005169,0.000000,,FRN,3.809%,3.815%,,0.006%,0.0113%
