Date ->,03/24/26,CUSIP,SECURITY TYPE,RATE,MATURITY DATE,CALL DATE,BUY,SELL,END OF DAY,,Type,Buy yield,Sell yield,EOD yield,Bid/ask yield spread,Bid/ask price spread
,,91282CLQ2,MARKET BASED NOTE,3.875%,10/15/27,,99.937500,99.906250,0.000000,,NOTE,3.915%,3.936%,,0.021%,0.0313%
,,91282CPE5,MARKET BASED NOTE,3.500%,10/31/27,,99.359375,99.343750,0.000000,,NOTE,3.915%,3.925%,,0.010%,0.0157%
,,91282CAU5,MARKET BASED NOTE,0.500%,10/31/27,,94.765625,94.750000,0.000000,,NOTE,3.902%,3.912%,,0.011%,0.0165%
,,91282CFU0,MARKET BASED NOTE,4.125%,10/31/27,,100.328125,100.312500,0.000000,,NOTE,3.910%,3.920%,,0.010%,0.0156%
,,9128283F5,MARKET BASED NOTE,2.250%,11/15/27,,97.390625,97.375000,0.000000,,NOTE,3.903%,3.913%,,0.010%,0.0160%
,,91282CLX7,MARKET BASED NOTE,4.125%,11/15/27,,100.328125,100.312500,0.000000,,NOTE,3.914%,3.924%,,0.010%,0.0156%
,,91282CPL9,MARKET BASED NOTE,3.375%,11/30/27,,99.140625,99.125000,0.000000,,NOTE,3.905%,3.914%,,0.010%,0.0158%
,,91282CAY7,MARKET BASED NOTE,0.625%,11/30/27,,94.718750,94.687500,0.000000,,NOTE,3.893%,3.913%,,0.020%,0.0330%
,,91282CFZ9,MARKET BASED NOTE,3.875%,11/30/27,,99.953125,99.937500,0.000000,,NOTE,3.901%,3.911%,,0.010%,0.0156%
,,91282CMB4,MARKET BASED NOTE,4.000%,12/15/27,,100.140625,100.125000,0.000000,,NOTE,3.912%,3.922%,,0.009%,0.0156%
,,91282CPS4,MARKET BASED NOTE,3.375%,12/31/27,,99.109375,99.093750,0.000000,,NOTE,3.898%,3.907%,,0.009%,0.0158%
,,91282CGC9,MARKET BASED NOTE,3.875%,12/31/27,,99.953125,99.937500,0.000000,,NOTE,3.900%,3.909%,,0.009%,0.0156%
,,91282CBB6,MARKET BASED NOTE,0.625%,12/31/27,,94.453125,94.437500,0.000000,,NOTE,3.897%,3.906%,,0.010%,0.0165%
,,91282CMF5,MARKET BASED NOTE,4.250%,01/15/28,,100.593750,100.562500,0.000000,,NOTE,3.905%,3.923%,,0.018%,0.0311%
,,91282CBJ9,MARKET BASED NOTE,0.750%,01/31/28,,94.421875,94.406250,0.000000,,NOTE,3.894%,3.903%,,0.009%,0.0166%
,,91282CGH8,MARKET BASED NOTE,3.500%,01/31/28,,99.296875,99.281250,0.000000,,NOTE,3.894%,3.903%,,0.009%,0.0157%
,,9128283W8,MARKET BASED NOTE,2.750%,02/15/28,,97.937500,97.906250,0.000000,,NOTE,3.887%,3.904%,,0.017%,0.0319%
,,91282CMN8,MARKET BASED NOTE,4.250%,02/15/28,,100.640625,100.625000,0.000000,,NOTE,3.895%,3.903%,,0.009%,0.0155%
,,91282CQB0,MARKET BASED NOTE,3.375%,02/29/28,,99.078125,99.062500,0.000000,,NOTE,3.873%,3.882%,,0.009%,0.0158%
,,91282CGP0,MARKET BASED NOTE,4.000%,02/29/28,,100.203125,100.187500,0.000000,,NOTE,3.889%,3.897%,,0.008%,0.0156%
,,91282CBP5,MARKET BASED NOTE,1.125%,02/29/28,,94.890625,94.875000,0.000000,,NOTE,3.893%,3.902%,,0.009%,0.0165%
,,91282CMS7,MARKET BASED NOTE,3.875%,03/15/28,,99.984375,99.968750,0.000000,,NOTE,3.883%,3.891%,,0.008%,0.0156%
,,91282CBS9,MARKET BASED NOTE,1.250%,03/31/28,,94.921875,94.906250,0.000000,,NOTE,3.889%,3.898%,,0.008%,0.0165%
,,91282CGT2,MARKET BASED NOTE,3.625%,03/31/28,,99.500000,99.500000,0.000000,,NOTE,3.885%,3.885%,,0.000%,0.0000%
,,91282CMW8,MARKET BASED NOTE,3.750%,04/15/28,,99.734375,99.718750,0.000000,,NOTE,3.884%,3.892%,,0.008%,0.0157%
,,91282CHA2,MARKET BASED NOTE,3.500%,04/30/28,,99.218750,99.187500,0.000000,,NOTE,3.889%,3.905%,,0.016%,0.0315%
,,91282CBZ3,MARKET BASED NOTE,1.250%,04/30/28,,94.718750,94.687500,0.000000,,NOTE,3.891%,3.907%,,0.016%,0.0330%
,,9128284N7,MARKET BASED NOTE,2.875%,05/15/28,,97.937500,97.906250,0.000000,,NOTE,3.886%,3.901%,,0.016%,0.0319%
,,91282CND9,MARKET BASED NOTE,3.750%,05/15/28,,99.703125,99.687500,0.000000,,NOTE,3.894%,3.902%,,0.008%,0.0157%
,,91282CHE4,MARKET BASED NOTE,3.625%,05/31/28,,99.453125,99.437500,0.000000,,NOTE,3.886%,3.894%,,0.008%,0.0157%
,,91282CCE9,MARKET BASED NOTE,1.250%,05/31/28,,94.515625,94.500000,0.000000,,NOTE,3.890%,3.898%,,0.008%,0.0165%
,,91282CNH0,MARKET BASED NOTE,3.875%,06/15/28,,99.984375,99.968750,0.000000,,NOTE,3.880%,3.888%,,0.007%,0.0156%
,,91282CHK0,MARKET BASED NOTE,4.000%,06/30/28,,100.265625,100.250000,0.000000,,NOTE,3.874%,3.882%,,0.007%,0.0156%
,,91282CCH2,MARKET BASED NOTE,1.250%,06/30/28,,94.328125,94.312500,0.000000,,NOTE,3.885%,3.892%,,0.008%,0.0166%
,,91282CNM9,MARKET BASED NOTE,3.875%,07/15/28,,99.953125,99.937500,0.000000,,NOTE,3.894%,3.902%,,0.007%,0.0156%
,,91282CHQ7,MARKET BASED NOTE,4.125%,07/31/28,,100.531250,100.500000,0.000000,,NOTE,3.885%,3.899%,,0.014%,0.0311%
,,91282CCR0,MARKET BASED NOTE,1.000%,07/31/28,,93.562500,93.531250,0.000000,,NOTE,3.885%,3.900%,,0.015%,0.0334%
,,9128284V9,MARKET BASED NOTE,2.875%,08/15/28,,97.734375,97.687500,0.000000,,NOTE,3.873%,3.894%,,0.021%,0.0480%
,,91282CNU1,MARKET BASED NOTE,3.625%,08/15/28,,99.421875,99.406250,0.000000,,NOTE,3.879%,3.885%,,0.007%,0.0157%
,,91282CHX2,MARKET BASED NOTE,4.375%,08/31/28,,101.125000,101.093750,0.000000,,NOTE,3.885%,3.899%,,0.013%,0.0309%
,,91282CCV1,MARKET BASED NOTE,1.125%,08/31/28,,93.656250,93.625000,0.000000,,NOTE,3.880%,3.895%,,0.014%,0.0334%
,,91282CNY3,MARKET BASED NOTE,3.375%,09/15/28,,98.796875,98.781250,0.000000,,NOTE,3.889%,3.896%,,0.007%,0.0158%
,,91282CJA0,MARKET BASED NOTE,4.625%,09/30/28,,101.765625,101.750000,0.000000,,NOTE,3.881%,3.888%,,0.007%,0.0154%
,,91282CCY5,MARKET BASED NOTE,1.250%,09/30/28,,93.718750,93.687500,0.000000,,NOTE,3.894%,3.908%,,0.014%,0.0334%
,,91282CPC9,MARKET BASED NOTE,3.500%,10/15/28,,99.046875,99.031250,0.000000,,NOTE,3.894%,3.900%,,0.007%,0.0158%
,,91282CJF9,MARKET BASED NOTE,4.875%,10/31/28,,102.406250,102.375000,0.000000,,NOTE,3.892%,3.905%,,0.013%,0.0305%
,,91282CDF5,MARKET BASED NOTE,1.375%,10/31/28,,93.843750,93.812500,0.000000,,NOTE,3.885%,3.898%,,0.013%,0.0333%
,,9128285M8,MARKET BASED NOTE,3.125%,11/15/28,,98.093750,98.062500,0.000000,,NOTE,3.890%,3.902%,,0.013%,0.0319%
,,91282CPK1,MARKET BASED NOTE,3.500%,11/15/28,,99.015625,99.000000,0.000000,,NOTE,3.894%,3.900%,,0.006%,0.0158%
,,91282CJN2,MARKET BASED NOTE,4.375%,11/30/28,,101.218750,101.187500,0.000000,,NOTE,3.891%,3.903%,,0.012%,0.0309%
,,91282CDL2,MARKET BASED NOTE,1.500%,11/30/28,,93.968750,93.937500,0.000000,,NOTE,3.887%,3.899%,,0.013%,0.0333%
,,91282CPP0,MARKET BASED NOTE,3.500%,12/15/28,,98.984375,98.968750,0.000000,,NOTE,3.894%,3.901%,,0.006%,0.0158%
,,91282CJR3,MARKET BASED NOTE,3.750%,12/31/28,,99.640625,99.625000,0.000000,,NOTE,3.886%,3.892%,,0.006%,0.0157%
,,91282CDP3,MARKET BASED NOTE,1.375%,12/31/28,,93.468750,93.437500,0.000000,,NOTE,3.883%,3.896%,,0.013%,0.0334%
,,91282CPT2,MARKET BASED NOTE,3.500%,01/15/29,,98.953125,98.937500,0.000000,,NOTE,3.895%,3.901%,,0.006%,0.0158%
,,91282CJW2,MARKET BASED NOTE,4.000%,01/31/29,,100.281250,100.250000,0.000000,,NOTE,3.894%,3.905%,,0.012%,0.0312%
,,91282CDW8,MARKET BASED NOTE,1.750%,01/31/29,,94.281250,94.250000,0.000000,,NOTE,3.884%,3.896%,,0.012%,0.0332%
,,9128286B1,MARKET BASED NOTE,2.625%,02/15/29,,96.562500,96.531250,0.000000,,NOTE,3.890%,3.902%,,0.012%,0.0324%
,,91282CQA2,MARKET BASED NOTE,3.500%,02/15/29,,98.937500,98.937500,0.000000,,NOTE,3.890%,3.890%,,0.000%,0.0000%
,,91282CKD2,MARKET BASED NOTE,4.250%,02/28/29,,100.968750,100.937500,0.000000,,NOTE,3.896%,3.908%,,0.011%,0.0310%
,,91282CEB3,MARKET BASED NOTE,1.875%,02/28/29,,94.468750,94.437500,0.000000,,NOTE,3.888%,3.900%,,0.012%,0.0331%
,,91282CQE4,MARKET BASED NOTE,3.500%,03/15/29,,98.921875,98.906250,0.000000,,NOTE,3.887%,3.893%,,0.006%,0.0158%
,,91282CKG5,MARKET BASED NOTE,4.125%,03/31/29,,100.656250,100.625000,0.000000,,NOTE,3.892%,3.903%,,0.011%,0.0311%
,,91282CEE7,MARKET BASED NOTE,2.375%,03/31/29,,95.687500,95.656250,0.000000,,NOTE,3.903%,3.914%,,0.011%,0.0327%
,,91282CEM9,MARKET BASED NOTE,2.875%,04/30/29,,97.031250,97.000000,0.000000,,NOTE,3.900%,3.911%,,0.011%,0.0322%
,,91282CKP5,MARKET BASED NOTE,4.625%,04/30/29,,102.093750,102.062500,0.000000,,NOTE,3.900%,3.911%,,0.011%,0.0306%
,,9128286T2,MARKET BASED NOTE,2.375%,05/15/29,,95.531250,95.500000,0.000000,,NOTE,3.898%,3.909%,,0.011%,0.0327%
,,91282CES6,MARKET BASED NOTE,2.750%,05/31/29,,96.562500,96.531250,0.000000,,NOTE,3.907%,3.917%,,0.011%,0.0324%
,,91282CKT7,MARKET BASED NOTE,4.500%,05/31/29,,101.750000,101.718750,0.000000,,NOTE,3.909%,3.919%,,0.010%,0.0307%
,,91282CKX8,MARKET BASED NOTE,4.250%,06/30/29,,101.031250,101.000000,0.000000,,NOTE,3.909%,3.919%,,0.010%,0.0309%
,,91282CEV9,MARKET BASED NOTE,3.250%,06/30/29,,98.000000,97.968750,0.000000,,NOTE,3.906%,3.917%,,0.010%,0.0319%
,,91282CFC0,MARKET BASED NOTE,2.625%,07/31/29,,96.000000,95.968750,0.000000,,NOTE,3.907%,3.918%,,0.010%,0.0326%
,,91282CLC3,MARKET BASED NOTE,4.000%,07/31/29,,100.265625,100.250000,0.000000,,NOTE,3.914%,3.919%,,0.005%,0.0156%
,,912828YB0,MARKET BASED NOTE,1.625%,08/15/29,,92.843750,92.812500,0.000000,,NOTE,3.894%,3.904%,,0.010%,0.0337%
,,91282CFJ5,MARKET BASED NOTE,3.125%,08/31/29,,97.437500,97.406250,0.000000,,NOTE,3.929%,3.939%,,0.010%,0.0321%
,,91282CLK5,MARKET BASED NOTE,3.625%,08/31/29,,99.031250,99.000000,0.000000,,NOTE,3.929%,3.939%,,0.010%,0.0316%
,,91282CLN9,MARKET BASED NOTE,3.500%,09/30/29,,98.593750,98.562500,0.000000,,NOTE,3.932%,3.942%,,0.010%,0.0317%
,,91282CFL0,MARKET BASED NOTE,3.875%,09/30/29,,99.812500,99.781250,0.000000,,NOTE,3.932%,3.942%,,0.010%,0.0313%
,,91282CFT3,MARKET BASED NOTE,4.000%,10/31/29,,100.187500,100.156250,0.000000,,NOTE,3.943%,3.952%,,0.009%,0.0312%
,,91282CLR0,MARKET BASED NOTE,4.125%,10/31/29,,100.609375,100.593750,0.000000,,NOTE,3.941%,3.946%,,0.005%,0.0155%
,,912828YS3,MARKET BASED NOTE,1.750%,11/15/29,,92.718750,92.687500,0.000000,,NOTE,3.913%,3.923%,,0.010%,0.0337%
,,91282CFY2,MARKET BASED NOTE,3.875%,11/30/29,,99.781250,99.750000,0.000000,,NOTE,3.938%,3.947%,,0.009%,0.0313%
,,91282CMA6,MARKET BASED NOTE,4.125%,11/30/29,,100.640625,100.625000,0.000000,,NOTE,3.935%,3.940%,,0.005%,0.0155%
,,91282CMD0,MARKET BASED NOTE,4.375%,12/31/29,,101.500000,101.468750,0.000000,,NOTE,3.941%,3.950%,,0.009%,0.0308%
,,91282CGB1,MARKET BASED NOTE,3.875%,12/31/29,,99.750000,99.718750,0.000000,,NOTE,3.946%,3.955%,,0.009%,0.0313%
,,91282CGJ4,MARKET BASED NOTE,3.500%,01/31/30,,98.406250,98.375000,0.000000,,NOTE,3.949%,3.958%,,0.009%,0.0318%
,,91282CMG3,MARKET BASED NOTE,4.250%,01/31/30,,101.046875,101.031250,0.000000,,NOTE,3.953%,3.958%,,0.004%,0.0155%
,,912828Z94,MARKET BASED NOTE,1.500%,02/15/30,,91.250000,91.218750,0.000000,,NOTE,3.943%,3.953%,,0.009%,0.0343%
,,91282CGQ8,MARKET BASED NOTE,4.000%,02/28/30,,100.156250,100.125000,0.000000,,NOTE,3.956%,3.965%,,0.009%,0.0312%
,,91282CGS4,MARKET BASED NOTE,3.625%,03/31/30,,98.750000,98.718750,0.000000,,NOTE,3.964%,3.973%,,0.009%,0.0317%
,,91282CMU2,MARKET BASED NOTE,4.000%,03/31/30,,100.140625,100.125000,0.000000,,NOTE,3.962%,3.966%,,0.004%,0.0156%
,,91282CMZ1,MARKET BASED NOTE,3.875%,04/30/30,,99.671875,99.656250,0.000000,,NOTE,3.962%,3.966%,,0.004%,0.0157%
,,91282CGZ8,MARKET BASED NOTE,3.500%,04/30/30,,98.250000,98.218750,0.000000,,NOTE,3.966%,3.974%,,0.008%,0.0318%
,,912828ZQ6,MARKET BASED NOTE,0.625%,05/15/30,,87.343750,87.312500,0.000000,,NOTE,3.967%,3.976%,,0.009%,0.0358%
,,91282CNG2,MARKET BASED NOTE,4.000%,05/31/30,,100.125000,100.125000,0.000000,,NOTE,3.966%,3.966%,,0.000%,0.0000%
,,91282CHF1,MARKET BASED NOTE,3.750%,05/31/30,,99.171875,99.156250,0.000000,,NOTE,3.965%,3.970%,,0.004%,0.0158%
,,91282CHJ3,MARKET BASED NOTE,3.750%,06/30/30,,99.125000,99.093750,0.000000,,NOTE,3.974%,3.982%,,0.008%,0.0315%
,,91282CNK3,MARKET BASED NOTE,3.875%,06/30/30,,99.609375,99.593750,0.000000,,NOTE,3.974%,3.978%,,0.004%,0.0157%
,,91282CNN7,MARKET BASED NOTE,3.875%,07/31/30,,99.609375,99.593750,0.000000,,NOTE,3.973%,3.977%,,0.004%,0.0157%
,,91282CHR5,MARKET BASED NOTE,4.000%,07/31/30,,100.093750,100.062500,0.000000,,NOTE,3.975%,3.983%,,0.008%,0.0312%
,,91282CAE1,MARKET BASED NOTE,0.625%,08/15/30,,86.593750,86.562500,0.000000,,NOTE,3.978%,3.986%,,0.008%,0.0361%
,,91282CHW4,MARKET BASED NOTE,4.125%,08/31/30,,100.546875,100.531250,0.000000,,NOTE,3.989%,3.993%,,0.004%,0.0155%
,,91282CNX5,MARKET BASED NOTE,3.625%,08/31/30,,98.546875,98.531250,0.000000,,NOTE,3.985%,3.989%,,0.004%,0.0159%
,,91282CPA3,MARKET BASED NOTE,3.625%,09/30/30,,98.515625,98.500000,0.000000,,NOTE,3.987%,3.991%,,0.004%,0.0159%
,,91282CHZ7,MARKET BASED NOTE,4.625%,09/30/30,,102.593750,102.562500,0.000000,,NOTE,3.992%,3.999%,,0.008%,0.0305%
,,91282CJG7,MARKET BASED NOTE,4.875%,10/31/30,,103.687500,103.656250,0.000000,,NOTE,3.989%,3.996%,,0.007%,0.0301%
,,91282CPD7,MARKET BASED NOTE,3.625%,10/31/30,,98.453125,98.437500,0.000000,,NOTE,3.996%,3.999%,,0.004%,0.0159%
,,91282CAV3,MARKET BASED NOTE,0.875%,11/15/30,,86.906250,86.875000,0.000000,,NOTE,3.992%,4.000%,,0.008%,0.0360%
,,91282CJM4,MARKET BASED NOTE,4.375%,11/30/30,,101.593750,101.562500,0.000000,,NOTE,3.997%,4.005%,,0.007%,0.0308%
,,91282CPN5,MARKET BASED NOTE,3.500%,11/30/30,,97.921875,97.906250,0.000000,,NOTE,3.990%,3.993%,,0.004%,0.0160%
,,91282CPR6,MARKET BASED NOTE,3.625%,12/31/30,,98.390625,98.375000,0.000000,,NOTE,3.998%,4.002%,,0.004%,0.0159%
,,91282CJQ5,MARKET BASED NOTE,3.750%,12/31/30,,98.906250,98.875000,0.000000,,NOTE,4.003%,4.010%,,0.007%,0.0316%
,,91282CJX0,MARKET BASED NOTE,4.000%,01/31/31,,99.968750,99.937500,0.000000,,NOTE,4.006%,4.013%,,0.007%,0.0313%
,,91282CPW5,MARKET BASED NOTE,3.750%,01/31/31,,98.921875,98.906250,0.000000,,NOTE,3.996%,3.999%,,0.004%,0.0158%
,,91282CBL4,MARKET BASED NOTE,1.125%,02/15/31,,87.406250,87.375000,0.000000,,NOTE,3.980%,3.988%,,0.008%,0.0358%
,,91282CQD6,MARKET BASED NOTE,3.500%,02/28/31,,97.843750,97.843750,0.000000,,NOTE,3.985%,3.985%,,0.000%,0.0000%
,,91282CKC4,MARKET BASED NOTE,4.250%,02/28/31,,101.062500,101.031250,0.000000,,NOTE,4.010%,4.017%,,0.007%,0.0309%
,,91282CKF7,MARKET BASED NOTE,4.125%,03/31/31,,100.484375,100.468750,0.000000,,NOTE,4.017%,4.021%,,0.003%,0.0156%
,,91282CKN0,MARKET BASED NOTE,4.625%,04/30/31,,102.734375,102.718750,0.000000,,NOTE,4.026%,4.029%,,0.003%,0.0152%
,,91282CCB5,MARKET BASED NOTE,1.625%,05/15/31,,88.937500,88.906250,0.000000,,NOTE,4.027%,4.035%,,0.007%,0.0351%
,,91282CKU4,MARKET BASED NOTE,4.625%,05/31/31,,102.750000,102.718750,0.000000,,NOTE,4.031%,4.038%,,0.007%,0.0304%
,,91282CKW0,MARKET BASED NOTE,4.250%,06/30/31,,101.015625,101.000000,0.000000,,NOTE,4.033%,4.036%,,0.003%,0.0155%
,,91282CLD1,MARKET BASED NOTE,4.125%,07/31/31,,100.421875,100.406250,0.000000,,NOTE,4.036%,4.039%,,0.003%,0.0156%
,,91282CCS8,MARKET BASED NOTE,1.250%,08/15/31,,86.546875,86.500000,0.000000,,NOTE,4.049%,4.060%,,0.011%,0.0542%
,,91282CLJ8,MARKET BASED NOTE,3.750%,08/31/31,,98.531250,98.500000,0.000000,,NOTE,4.053%,4.060%,,0.007%,0.0317%
,,91282CLM1,MARKET BASED NOTE,3.625%,09/30/31,,97.875000,97.843750,0.000000,,NOTE,4.059%,4.065%,,0.006%,0.0319%
,,91282CLU3,MARKET BASED NOTE,4.125%,10/31/31,,100.296875,100.281250,0.000000,,NOTE,4.065%,4.068%,,0.003%,0.0156%
,,91282CDJ7,MARKET BASED NOTE,1.375%,11/15/31,,86.468750,86.437500,0.000000,,NOTE,4.083%,4.090%,,0.007%,0.0362%
,,91282CLZ2,MARKET BASED NOTE,4.125%,11/30/31,,100.265625,100.250000,0.000000,,NOTE,4.071%,4.074%,,0.003%,0.0156%
,,91282CMC2,MARKET BASED NOTE,4.500%,12/31/31,,102.125000,102.093750,0.000000,,NOTE,4.082%,4.088%,,0.006%,0.0306%
,,91282CMK4,MARKET BASED NOTE,4.375%,01/31/32,,101.453125,101.437500,0.000000,,NOTE,4.093%,4.096%,,0.003%,0.0154%
,,91282CDY4,MARKET BASED NOTE,1.875%,02/15/32,,88.406250,88.375000,0.000000,,NOTE,4.108%,4.115%,,0.006%,0.0354%
,,91282CMR9,MARKET BASED NOTE,4.125%,02/29/32,,100.140625,100.125000,0.000000,,NOTE,4.098%,4.101%,,0.003%,0.0156%
,,91282CMT5,MARKET BASED NOTE,4.125%,03/31/32,,100.078125,100.062500,0.000000,,NOTE,4.110%,4.113%,,0.003%,0.0156%
,,91282CNA5,MARKET BASED NOTE,4.000%,04/30/32,,99.390625,99.375000,0.000000,,NOTE,4.113%,4.116%,,0.003%,0.0157%
,,91282CEP2,MARKET BASED NOTE,2.875%,05/15/32,,93.281250,93.250000,0.000000,,NOTE,4.124%,4.130%,,0.006%,0.0335%
,,91282CNF4,MARKET BASED NOTE,4.125%,05/31/32,,100.015625,100.000000,0.000000,,NOTE,4.121%,4.124%,,0.003%,0.0156%
,,91282CNJ6,MARKET BASED NOTE,4.000%,06/30/32,,99.296875,99.281250,0.000000,,NOTE,4.128%,4.130%,,0.003%,0.0157%
,,91282CNR8,MARKET BASED NOTE,4.000%,07/31/32,,99.234375,99.218750,0.000000,,NOTE,4.137%,4.140%,,0.003%,0.0157%
,,91282CFF3,MARKET BASED NOTE,2.750%,08/15/32,,92.234375,92.187500,0.000000,,NOTE,4.144%,4.153%,,0.009%,0.0508%
,,91282CNW7,MARKET BASED NOTE,3.875%,08/31/32,,98.484375,98.468750,0.000000,,NOTE,4.145%,4.148%,,0.003%,0.0159%
,,91282CNZ0,MARKET BASED NOTE,3.875%,09/30/32,,98.453125,98.437500,0.000000,,NOTE,4.148%,4.151%,,0.003%,0.0159%
,,91282CPF2,MARKET BASED NOTE,3.750%,10/31/32,,97.671875,97.656250,0.000000,,NOTE,4.156%,4.159%,,0.003%,0.0160%
,,91282CFV8,MARKET BASED NOTE,4.125%,11/15/32,,99.812500,99.781250,0.000000,,NOTE,4.157%,4.162%,,0.005%,0.0313%
,,91282CPM7,MARKET BASED NOTE,3.750%,11/30/32,,97.609375,97.593750,0.000000,,NOTE,4.163%,4.165%,,0.003%,0.0160%
,,91282CPQ8,MARKET BASED NOTE,3.875%,12/31/32,,98.265625,98.250000,0.000000,,NOTE,4.171%,4.174%,,0.003%,0.0159%
,,91282CPY1,MARKET BASED NOTE,4.000%,01/31/33,,98.984375,98.968750,0.000000,,NOTE,4.171%,4.174%,,0.003%,0.0158%
,,91282CGM7,MARKET BASED NOTE,3.500%,02/15/33,,95.968750,95.937500,0.000000,,NOTE,4.178%,4.184%,,0.005%,0.0326%
,,91282CQC8,MARKET BASED NOTE,3.750%,02/28/33,,97.453125,97.437500,0.000000,,NOTE,4.176%,4.179%,,0.003%,0.0160%
,,91282CHC8,MARKET BASED NOTE,3.375%,05/15/33,,94.984375,94.968750,0.000000,,NOTE,4.194%,4.197%,,0.003%,0.0165%
,,91282CHT1,MARKET BASED NOTE,3.875%,08/15/33,,97.890625,97.875000,0.000000,,NOTE,4.209%,4.212%,,0.003%,0.0160%
,,91282CJJ1,MARKET BASED NOTE,4.500%,11/15/33,,101.796875,101.781250,0.000000,,NOTE,4.222%,4.224%,,0.002%,0.0154%
,,91282CJZ5,MARKET BASED NOTE,4.000%,02/15/34,,98.375000,98.343750,0.000000,,NOTE,4.244%,4.249%,,0.005%,0.0318%
,,91282CKQ3,MARKET BASED NOTE,4.375%,05/15/34,,100.812500,100.781250,0.000000,,NOTE,4.255%,4.260%,,0.005%,0.0310%
,,91282CLF6,MARKET BASED NOTE,3.875%,08/15/34,,97.171875,97.156250,0.000000,,NOTE,4.279%,4.281%,,0.002%,0.0161%
,,91282CLW9,MARKET BASED NOTE,4.250%,11/15/34,,99.671875,99.656250,0.000000,,NOTE,4.295%,4.297%,,0.002%,0.0157%
,,91282CMM0,MARKET BASED NOTE,4.625%,02/15/35,,102.328125,102.312500,0.000000,,NOTE,4.307%,4.309%,,0.002%,0.0153%
,,91282CNC1,MARKET BASED NOTE,4.250%,05/15/35,,99.453125,99.437500,0.000000,,NOTE,4.322%,4.325%,,0.002%,0.0157%
,,91282CNT4,MARKET BASED NOTE,4.250%,08/15/35,,99.328125,99.312500,0.000000,,NOTE,4.337%,4.339%,,0.002%,0.0157%
,,91282CPJ4,MARKET BASED NOTE,4.000%,11/15/35,,97.234375,97.218750,0.000000,,NOTE,4.354%,4.356%,,0.002%,0.0161%
,,91282CPZ8,MARKET BASED NOTE,4.125%,02/15/36,,98.109375,98.093750,0.000000,,NOTE,4.362%,4.364%,,0.002%,0.0159%
,,912810EX2,MARKET BASED BOND,6.750%,08/15/26,,0.000000,100.875000,0.000000,,BOND,,4.480%,,,
,,912810EY0,MARKET BASED BOND,6.500%,11/15/26,,101.750000,101.500000,0.000000,,BOND,3.714%,4.104%,,0.390%,0.2463%
,,912810EZ7,MARKET BASED BOND,6.625%,02/15/27,,102.609375,102.312500,0.000000,,BOND,3.639%,3.971%,,0.333%,0.2902%
,,912810FA1,MARKET BASED BOND,6.375%,08/15/27,,103.359375,103.062500,0.000000,,BOND,3.879%,4.095%,,0.216%,0.2881%
,,912810FB9,MARKET BASED BOND,6.125%,11/15/27,,103.546875,103.218750,0.000000,,BOND,3.873%,4.076%,,0.203%,0.3179%
,,912810FE3,MARKET BASED BOND,5.500%,08/15/28,,103.656250,103.312500,0.000000,,BOND,3.886%,4.035%,,0.148%,0.3327%
,,912810FF0,MARKET BASED BOND,5.250%,11/15/28,,103.406250,103.156250,0.000000,,BOND,3.880%,3.978%,,0.098%,0.2424%
,,912810FG8,MARKET BASED BOND,5.250%,02/15/29,,103.875000,103.531250,0.000000,,BOND,3.823%,3.947%,,0.124%,0.3320%
,,912810FJ2,MARKET BASED BOND,6.125%,08/15/29,,106.906250,106.656250,0.000000,,BOND,3.932%,4.008%,,0.076%,0.2344%
,,912810FM5,MARKET BASED BOND,6.250%,05/15/30,,108.625000,108.375000,0.000000,,BOND,3.970%,4.033%,,0.063%,0.2307%
,,912810FP8,MARKET BASED BOND,5.375%,02/15/31,,106.046875,105.718750,0.000000,,BOND,4.002%,4.074%,,0.072%,0.3104%
,,912810FT0,MARKET BASED BOND,4.500%,02/15/36,,101.656250,101.437500,0.000000,,BOND,4.292%,4.319%,,0.027%,0.2157%
,,912810PT9,MARKET BASED BOND,4.750%,02/15/37,,103.203125,103.062500,0.000000,,BOND,4.377%,4.393%,,0.016%,0.1364%
,,912810PU6,MARKET BASED BOND,5.000%,05/15/37,,105.453125,105.281250,0.000000,,BOND,4.376%,4.395%,,0.019%,0.1633%
,,912810PW2,MARKET BASED BOND,4.375%,02/15/38,,99.406250,99.281250,0.000000,,BOND,4.439%,4.453%,,0.014%,0.1259%
,,912810PX0,MARKET BASED BOND,4.500%,05/15/38,,100.296875,100.156250,0.000000,,BOND,4.468%,4.483%,,0.015%,0.1404%
,,912810QA9,MARKET BASED BOND,3.500%,02/15/39,,89.796875,89.656250,0.000000,,BOND,4.554%,4.570%,,0.016%,0.1568%
,,912810QB7,MARKET BASED BOND,4.250%,05/15/39,,96.546875,96.406250,0.000000,,BOND,4.603%,4.617%,,0.015%,0.1459%
,,912810QC5,MARKET BASED BOND,4.500%,08/15/39,,98.578125,98.437500,0.000000,,BOND,4.643%,4.658%,,0.014%,0.1429%
,,912810QD3,MARKET BASED BOND,4.375%,11/15/39,,97.062500,96.937500,0.000000,,BOND,4.668%,4.681%,,0.013%,0.1289%
,,912810QE1,MARKET BASED BOND,4.625%,02/15/40,,99.484375,99.343750,0.000000,,BOND,4.675%,4.689%,,0.014%,0.1416%
,,912810QH4,MARKET BASED BOND,4.375%,05/15/40,,96.656250,96.531250,0.000000,,BOND,4.701%,4.713%,,0.012%,0.1295%
