,,,,CUSIP,Maturity,Coupon,Yield (SAO),FY,Qty,Principal per bond,Int per bnd (last year),P+I per bnd,,Adj Ask per bond,Adj ask cost,Acc int cost,Total cost,Principal,Intererest (last year),P+I,Interest later maturities,Interest total, ARA,Interest annual,,Modified duration,Duration
,,,,91282CNS6,Jul 2035,1.875%,1.74%,2035,38,"1,009",19,"1,028",,"1,026","38,987",66,"39,052","38,353",719,"39,072","8,342","9,061","47,414",719,,8.6,8.7
Last funded year choices,Lower choices,0.49,,91282CPU9,Jan 2036,1.875%,1.73%,2036,40,997,9,"1,007",,"1,008","40,306",68,"40,375","39,895",374,"40,269","7,594","7,968","47,863",748,,9.0,9.1
2026,Jan 2032,,,,Jan 2037,1.750%,1.80%,2037,40,"1,000",9,"1,009",,"1,000","40,000",64,"40,064","40,000",350,"40,350","6,894","7,244","47,244",700,,9.87,9.96
2027,Jul 2032,,,,Jan 2038,1.750%,1.87%,2038,41,"1,000",9,"1,009",,"1,000","41,000",65,"41,065","41,000",359,"41,359","6,177","6,535","47,535",718,,10.7,10.8
2028,Jan 2033,,,,Jan 2039,1.875%,1.94%,2039,42,"1,000",9,"1,009",,"1,000","42,000",72,"42,072","42,000",394,"42,394","5,389","5,783","47,783",788,,11.39,11.50
2029,Jul 2033,0.51,,912810QF8,Feb 2040,2.125%,2.01%,2040,28,"1,499",16,"1,515",,"1,520","42,549",5,"42,554","41,984",446,"42,430","4,497","4,943","46,927",892,,12.1,12.2
2030,Jan 2034,,,912810QP6,Feb 2041,2.125%,2.09%,2041,29,"1,480",16,"1,496",,"1,487","43,109",5,"43,114","42,917",456,"43,373","3,585","4,041","46,958",912,,12.8,12.9
2031,Jul 2034,,,912810QV3,Feb 2042,0.750%,2.22%,2042,31,"1,434",5,"1,440",,"1,151","35,685",2,"35,687","44,462",167,"44,628","3,251","3,418","47,880",333,,14.8,15.0
2032,Jan 2035,,,912810RA8,Feb 2043,0.625%,2.27%,2043,31,"1,410",4,"1,414",,"1,084","33,599",2,"33,600","43,698",137,"43,834","2,978","3,115","46,813",273,,15.8,16.0
2033,Jul 2035,,,912810RF7,Feb 2044,1.375%,2.31%,2044,32,"1,391",10,"1,400",,"1,200","38,395",3,"38,398","44,498",306,"44,804","2,366","2,672","47,170",612,,15.6,15.8
